Quadrats,Trifolium,Dandelion,Plantain,Yarrow
1,1,0,1,1
2,1,1,1,1
3,1,1,1,1
4,1,1,1,1
5,1,1,1,1
6,1,0,0,0
7,0,1,0,0
8,0,0,1,1
9,1,1,0,1
10,1,1,1,1
11,1,0,1,1
12,1,1,1,1
13,1,0,0,1
14,0,1,1,1
15,1,1,1,1
16,1,1,1,1
17,1,1,1,0
18,1,1,1,0
19,1,1,1,1
20,1,0,0,1
21,1,0,0,0
22,1,0,0,0
23,1,0,0,0
24,0,1,0,1
25,0,1,1,0
26,1,1,1,0
27,1,0,0,0
28,1,1,1,1
29,1,1,1,1
30,1,1,0,1
31,1,1,1,0
32,0,1,1,0
33,1,0,0,0
34,0,1,0,1
35,0,1,1,0
36,1,1,1,1
37,1,1,1,1
38,0,1,0,1
39,1,1,1,1
40,1,1,1,1
41,1,1,1,1
42,1,1,1,0
43,1,1,1,0
44,1,1,1,1
45,1,1,1,1
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,1,1,1,1
50,1,0,0,1
51,1,1,1,1
52,1,1,1,1
53,1,1,1,1
54,1,0,0,1
55,1,1,0,0
56,1,1,0,0
57,0,1,0,1
58,1,1,1,1
59,0,1,1,1
60,1,1,0,1
