Quadrat,Clover (Trifolium repens),Dandelion (Taraxacum ),Ribwort plantain (Plantago lanceolata),Yarrow (Achillea millefolium),Group,,,
1,1,1,1,1,A,,,
2,1,1,1,1,,,,
3,1,1,1,1,,,,
4,1,1,1,1,,,,
5,0,0,0,0,,,,
6,1,0,1,0,,,,
7,1,0,1,0,,,,
8,1,1,1,1,,,,
9,1,1,1,1,,,,
10,1,1,1,0,,,,
11,1,1,1,1,,,,
12,0,1,1,0,,,,
13,0,1,1,1,,,,
14,1,0,0,0,,,,
15,1,1,1,0,,,,
16,1,1,1,1,,,,
17,1,1,1,1,,,,
18,1,1,1,1,,,,
19,1,1,1,1,,,,
20,1,1,1,1,,,,
21,1,1,1,1,,,,
22,0,1,1,0,,,,
23,1,1,1,0,,,,
24,1,1,1,0,,,,
25,1,1,1,1,,,,
26,1,1,1,1,,,,
27,1,1,0,0,,,,
28,0,1,1,0,,,,
29,1,1,1,1,,,,
30,0,1,0,0,,,,
31,1,1,1,1,B,,,
32,0,0,1,1,,,,
33,1,1,1,1,,,,
34,1,0,1,1,,,,
35,0,1,1,1,,,,
36,0,1,1,1,,,,
37,0,1,1,1,,,,
38,1,1,0,0,,,,
39,1,1,1,0,,,,
40,1,1,1,0,,,,
41,1,1,1,0,,,,
42,1,0,1,0,,,,
43,1,0,1,0,,,,
44,0,1,1,0,,,,
45,1,1,1,1,,,,
46,1,1,0,1,,,,
47,0,0,0,1,,,,
48,1,1,0,1,,,,
49,1,1,1,1,,,,
50,1,1,1,0,,,,
51,1,1,1,1,,,,
52,1,1,1,0,,,,
53,1,1,1,1,,,,
54,1,1,1,0,,,,
55,1,1,1,0,,,,
56,1,1,0,0,,,,
57,1,1,1,1,,,,
58,1,1,1,0,,,,
59,1,1,1,0,,,,
60,0,1,1,0,,,,
61,0,1,1,0,C,,,
62,1,1,1,1,,,,
63,0,1,1,1,,,,
64,1,1,1,1,,,,
65,1,1,1,1,,,,
66,1,1,1,1,,,,
67,1,1,1,1,,,,
68,1,1,1,1,,,,
69,1,1,1,1,,,,
70,0,0,1,1,,,,
71,1,1,0,0,,,,
72,1,1,0,0,,,,
73,1,1,1,1,,,,
74,1,1,1,1,,,,
75,1,1,1,0,,,,
76,0,1,1,1,,,,
77,1,1,1,1,,,,
78,0,1,1,0,,,,
79,1,1,1,0,,,,
80,1,0,1,1,,,,
81,1,1,1,1,,,,
82,1,1,1,1,,,,
83,1,1,1,1,,,,
84,1,1,1,0,,,,
85,1,1,1,1,,,,
86,1,1,1,1,,,,
87,1,1,1,1,,,,
88,1,1,1,1,,,,
89,1,1,1,1,,,,
90,1,1,1,1,,,,
91,1,1,0,1,D,,,
92,1,1,0,0,,,,
93,1,0,0,0,,,,
94,1,1,0,1,,,,
95,1,1,0,0,,,,
